timestamp,screen_width,screen_height,left_gaze_x,left_gaze_y,right_gaze_x,right_gaze_y,face_x,face_y,face_z,focused?
1762838631.46,1470,956,745.3359375,425.2208333333333,839.5078125,427.2125,816.1393278837204,490.00560307502747,-0.03230008855462074,False
1762838631.534,1470,956,745.3359375,425.2208333333333,840.65625,426.2166666666667,816.2587523460388,490.0437240600586,-0.032226886600255966,False
1762838631.621,1470,956,745.3359375,425.2208333333333,840.65625,426.2166666666667,816.4470452070236,489.8794448375702,-0.03217709809541702,False
1762838631.706,1470,956,740.7421875,434.18333333333334,845.25,434.18333333333334,815.4989218711853,489.81864500045776,-0.031919658184051514,False
1762838631.797,1470,956,744.1875,426.2166666666667,841.8046875,427.2125,816.3072055578232,489.5869560241699,-0.03201689198613167,False
1762838631.887,1470,956,746.484375,424.225,841.8046875,425.2208333333333,816.7516958713531,488.4470303058624,-0.03216858580708504,False
1762838631.969,1470,956,747.6328125,423.2291666666667,841.8046875,425.2208333333333,816.7991852760315,486.9510807991028,-0.03214131295681,False
1762838632.053,1470,956,747.6328125,422.23333333333335,840.65625,424.225,817.4360865354538,484.83072209358215,-0.03233278915286064,False
1762838632.103,1470,956,747.6328125,422.23333333333335,840.65625,424.225,817.7705276012421,484.28922176361084,-0.03209909796714783,False
1762838632.192,1470,956,747.6328125,421.2375,840.65625,423.2291666666667,817.7922570705414,483.68521213531494,-0.03202223777770996,False
1762838632.279,1470,956,748.78125,420.2416666666667,840.65625,423.2291666666667,818.1736618280411,483.68954277038574,-0.03196678310632706,False
1762838632.365,1470,956,748.78125,420.2416666666667,840.65625,422.23333333333335,818.1842637062073,483.5691967010498,-0.03193525969982147,False
1762838632.452,1470,956,747.6328125,418.25,840.65625,420.2416666666667,817.9137843847275,481.7193887233734,-0.03174448758363724,False
1762838632.542,1470,956,746.3568019866943,418.1393484751384,839.5078125,419.24583333333334,817.6767754554749,478.3425190448761,-0.03183275833725929,False
1762838632.629,1470,956,745.3359375,417.25416666666666,840.65625,416.2583333333333,820.3342545032501,475.6787226200104,-0.03271465748548508,False
1762838632.716,1470,956,752.2265625,419.24583333333334,845.3775730133057,418.3606515248616,828.0896598100662,478.9572412967682,-0.032075442373752594,False
1762838632.802,1470,956,755.671875,424.225,849.84375,423.2291666666667,829.7522270679474,483.0504322052002,-0.032190967351198196,False
1762838632.888,1470,956,755.671875,424.225,849.84375,424.225,830.3615283966064,484.0757670402527,-0.031908292323350906,False
1762838632.972,1470,956,751.078125,426.2166666666667,845.25,426.2166666666667,826.0120421648026,486.27521681785583,-0.031898029148578644,False
1762838633.058,1470,956,749.9296875,425.2208333333333,844.1015625,425.2208333333333,823.0881142616272,485.217915058136,-0.031930651515722275,False
1762838633.146,1470,956,747.6328125,425.2208333333333,840.65625,426.2166666666667,820.2937746047974,484.8109493255615,-0.03197995945811272,False
1762838633.236,1470,956,745.3359375,426.2166666666667,839.5078125,425.2208333333333,818.654163479805,485.49216961860657,-0.03193770721554756,False
1762838633.323,1470,956,743.0390625,426.2166666666667,838.359375,424.225,818.119250535965,483.8811733722687,-0.032182589173316956,False
1762838633.406,1470,956,743.0390625,424.225,836.0625,424.225,816.5846067667007,482.6591365337372,-0.031985580921173096,False
1762838633.495,1470,956,741.890625,431.1958333333333,837.2109375,429.20416666666665,815.6179958581924,479.36950635910034,-0.03091525286436081,False
1762838633.58,1470,956,741.890625,431.1958333333333,837.2109375,428.2083333333333,815.1445037126541,482.1333632469177,-0.031655386090278625,False
1762838633.669,1470,956,743.0390625,426.2166666666667,836.0625,423.2291666666667,814.966549873352,480.4298851490021,-0.031459253281354904,False
1762838633.753,1470,956,741.890625,426.2166666666667,834.9140625,423.2291666666667,813.8963735103607,481.3141894340515,-0.03146754950284958,False
1762838633.839,1470,956,743.0390625,422.23333333333335,834.9140625,421.2375,813.2546532154083,476.8299022912979,-0.03136277198791504,False
1762838633.921,1470,956,740.7421875,418.25,831.46875,418.25,814.8765653371811,470.583417057991,-0.03157056123018265,False
1762838634.011,1470,956,738.4453125,420.2416666666667,830.3203125,419.24583333333334,811.0461330413818,472.73087072372437,-0.0314195454120636,False
1762838634.098,1470,956,736.1484375,416.2583333333333,828.0234375,415.2625,811.0228264331818,465.9181264638901,-0.03159278258681297,False
1762838634.185,1470,956,736.1484375,416.2583333333333,826.875,415.2625,808.3436179161072,465.4332662820816,-0.03205396234989166,False
1762838634.272,1470,956,738.4453125,410.2833333333333,830.3203125,409.2875,814.6572554111481,456.8677544593811,-0.032680366188287735,False
1762838634.346,1470,956,744.1875,409.2875,839.5078125,407.29583333333335,820.5557548999786,455.21937799453735,-0.03279050812125206,False
1762838634.433,1470,956,753.375,408.2916666666667,848.6953125,406.3,827.9941552877426,457.34785664081573,-0.03310977667570114,False
1762838634.525,1470,956,757.96875,408.2916666666667,853.2890625,407.29583333333335,833.8604986667633,457.42164838314056,-0.03311581164598465,False
1762838634.605,1470,956,759.1171875,412.275,853.2890625,413.2708333333333,833.2227212190628,465.90821158885956,-0.03292723000049591,False
1762838634.692,1470,956,756.8203125,412.275,850.9921875,413.2708333333333,833.7024343013763,465.26605248451233,-0.03275922313332558,False
1762838634.778,1470,956,752.2265625,414.26666666666665,846.3984375,415.2625,829.161062836647,468.15048336982727,-0.03278902545571327,False
1762838634.863,1470,956,747.6328125,414.26666666666665,842.953125,414.26666666666665,826.0801219940186,467.93851017951965,-0.0328969843685627,False
1762838634.956,1470,956,745.3359375,416.2583333333333,840.65625,414.26666666666665,822.7592808008194,469.8096294403076,-0.03305985406041145,False
1762838635.04,1470,956,745.3359375,416.2583333333333,839.5078125,415.2625,821.8231612443924,471.3892570734024,-0.033068884164094925,False
1762838635.125,1470,956,745.3359375,417.25416666666666,839.5078125,415.2625,821.5971046686172,471.29674673080444,-0.033043891191482544,False
1762838635.175,1470,956,745.3359375,418.25,839.5078125,415.2625,821.6287350654602,471.7444546222687,-0.0329027883708477,False
1762838635.254,1470,956,747.6328125,418.25,840.65625,416.2583333333333,822.1685546636581,472.70155346393585,-0.03288416936993599,False
1762838635.338,1470,956,748.78125,418.25,844.1015625,417.25416666666666,823.4070467948914,472.80634343624115,-0.03261863440275192,False
1762838635.425,1470,956,751.078125,418.25,842.953125,416.2583333333333,825.0045132637024,471.8885052204132,-0.0328410305082798,False
1762838635.512,1470,956,751.078125,418.25,845.25,418.25,824.966749548912,474.166219830513,-0.03254000470042229,False
1762838635.603,1470,956,747.6328125,419.24583333333334,841.8046875,420.2416666666667,825.1391834020615,474.6505101919174,-0.032543305307626724,False
1762838635.695,1470,956,747.6328125,421.2375,840.65625,420.2416666666667,825.3977465629578,475.9479912519455,-0.03241053968667984,False
1762838635.769,1470,956,747.6328125,421.2375,840.7838230133057,420.3523181915283,825.1136863231659,476.1568304300308,-0.03243466839194298,False
1762838635.821,1470,956,747.6328125,421.2375,840.7838230133057,420.3523181915283,824.8749250173569,476.31259083747864,-0.03240154683589935,False
1762838635.909,1470,956,751.078125,420.2416666666667,844.1015625,418.25,825.679703950882,475.8432582616806,-0.03224038705229759,False
1762838635.985,1470,956,751.078125,420.2416666666667,845.25,418.25,825.692321062088,476.09241223335266,-0.032262761145830154,False
1762838636.075,1470,956,752.2265625,419.24583333333334,845.25,418.25,825.6569230556488,475.6282080411911,-0.03225072845816612,False
1762838636.163,1470,956,752.2265625,419.24583333333334,845.25,418.25,825.733151435852,475.65242540836334,-0.03220478817820549,False
1762838636.248,1470,956,752.2265625,419.24583333333334,845.25,418.25,826.057516336441,475.52498507499695,-0.032181862741708755,False
1762838636.337,1470,956,752.2265625,419.24583333333334,845.25,418.25,826.1069333553314,474.8716289997101,-0.03237765282392502,False
1762838636.429,1470,956,751.2056980133057,420.131015141805,845.25,417.25416666666666,825.8598482608795,474.8310008049011,-0.0324682854115963,False
1762838636.517,1470,956,751.078125,418.25,845.25,417.25416666666666,825.3117048740387,475.0802972316742,-0.03256771340966225,False
1762838636.601,1470,956,748.78125,427.2125,847.546875,424.225,824.7990471124649,475.11881709098816,-0.031819410622119904,False
