timestamp,screen_width,screen_height,left_gaze_x,left_gaze_y,right_gaze_x,right_gaze_y,face_x,face_y,face_z,focused?
1762756153,1920,1080,735,535.5,972,531,846.5918541,706.4769244,-0.057264771,1
1762756153,1920,1080,735,535.5,972,531,845.7917976,704.8471284,-0.057288293,1
1762756153,1920,1080,735,535.5,972,531,844.8802185,705.4174089,-0.057107542,1
1762756153,1920,1080,732,540,966,537.75,842.4725533,706.3909864,-0.057087872,1
1762756153,1920,1080,732,540,966,540,841.8015289,706.0287595,-0.057478964,1
1762756153,1920,1080,729,540,965.6666565,539.7499924,840.7050705,706.057663,-0.057477735,1
1762756154,1920,1080,729,540,965.6666565,539.7499924,839.5676422,706.2415123,-0.057658643,1
1762756154,1920,1080,726,544.5,960.3333435,540.2500076,839.9521065,706.6224718,-0.057698153,1
1762756154,1920,1080,726,544.5,960,540,840.3516769,707.1184015,-0.057555936,1
1762756154,1920,1080,726,544.5,960,540,839.8386955,706.2437654,-0.057639338,1
1762756154,1920,1080,726,544.5,960,540,839.3131828,706.3893127,-0.057836346,1
1762756154,1920,1080,726,544.5,960,540,838.5354996,706.8421769,-0.057681534,1
1762756154,1920,1080,726,544.5,960,540,839.1678429,707.0605946,-0.057634175,1
1762756154,1920,1080,726,544.5,960,540,839.7566986,707.3287725,-0.057411227,1
1762756154,1920,1080,726,544.5,960,540,839.6027756,707.3990035,-0.057440825,1
1762756154,1920,1080,726,544.5,960,540,839.689064,706.438365,-0.057629015,1
1762756154,1920,1080,729,540,966,540,840.0304413,707.9737258,-0.057525661,1
1762756154,1920,1080,732,540,966,540,841.8291092,706.3238454,-0.057501923,1
1762756154,1920,1080,732,540,966,537.75,840.4316711,706.8741703,-0.057772409,1
1762756154,1920,1080,744,537.75,984,535.5,849.4249535,703.3046865,-0.058610208,1
1762756154,1920,1080,755.6666565,535.2499924,990,531,860.3808403,703.2346487,-0.057968561,1
1762756155,1920,1080,761.6666565,535.2499924,996,531.5625,869.4414711,701.3530254,-0.058216486,1
1762756155,1920,1080,762,535.5,1001.666656,530.7499924,873.3928871,701.9482827,-0.058129892,1
1762756155,1920,1080,762,535.5,1002,530.4375,876.3994217,700.4268265,-0.058039479,1
